
how long have it be since you review the objective of you benefit and service program,how bn:00106124a have it bn:00083181v since you bn:00092618v the bn:00002179n of you bn:00009904n and bn:00070654n bn:00064646n
oh the time of death,oh the bn:00019893n of bn:00025583n
the duration of the digestive process vary the pathologist say but the empty stomach and the finding in the upper gastrointestinal tract indicate that person die several hour after she seven o'clock dinner,the bn:00022191n of the bn:00101368a process bn:00095489v the bn:00026809n bn:00082527v but the bn:00102176a bn:00012886n and the bn:00034551n in the bn:00113424a bn:00103493a bn:00077851n bn:00082756v that bn:00046516n bn:00084343v bn:00110469a bn:00000127n after she bn:00000129n bn:00116391r bn:00027206n
probably around midnight give_or_take a hour either way ``,bn:00114523r around bn:00054884n bn:00115513r a bn:00000127n either bn:00027352n ``
person pause again,bn:00046516n bn:00083943v bn:00114171r
`` so there it be `` he say,`` so there it bn:00083184v `` he bn:00093287v
`` not you problem of_course unless person and the murderer be one and the same ``,`` bn:00116360r you bn:00048242n bn:00114869r unless bn:00046516n and the bn:00051488n bn:00083182v one and the same ``
they discuss this possibility,they bn:00086942v this bn:00045632n
however likely it be person say he could not limit himself to it,bn:00115697r bn:00105982a it bn:00083181v bn:00046516n bn:00093287v he could not bn:00083834v himself to it
he have to look_for other prospect other motive until more conclusive evidence point to person come to light,he have to bn:00090460v bn:00108011a bn:00015205n bn:00108011a bn:00056037n until bn:00116284r conclusive bn:00032045n bn:00086679v to bn:00046516n bn:00085321v to bn:00051117n
person with he investigation center_on the fraud say that tomorrow he would go to the bronx bank through which person 's check to person have clear,bn:00046516n with he bn:00047355n bn:00084725v the bn:00036292n bn:00093287v that bn:00117323r he would go to the bronx bn:00008364n through which bn:00046516n 's bn:00008378n to bn:00046516n have bn:00085081v
person have to be locate they agree,bn:00046516n have to be bn:00090423v they bn:00082475v
he might have be in collusion with person on the fraud he might be person 's murderer or have play some part in she death,he might have bn:00083181v in bn:00020688n with bn:00046516n on the bn:00036292n he might bn:00083182v bn:00046516n 's bn:00051488n or have bn:00091709v some bn:00036823n in she bn:00025583n
this be person 's suggestion the police_chief shake he head over it,this bn:00083182v bn:00046516n 's bn:00075094n the bn:00015751n bn:00082470v he bn:00015784n over it
if person be involved in the fraud or the murder then he too have another identity,if bn:00046516n bn:00083181v bn:00105394a in the bn:00036292n or the bn:00032175n bn:00117250r he bn:00114246r bn:00089240v another bn:00045824n
no one the location police have question profess to know any more about he than about person,no one the bn:00051760n bn:00022026n have bn:00089845v bn:00085511v to bn:00090143v bn:00097285a bn:00106936a about he than about bn:00046516n
scholarship applicant,bn:00069614n bn:00005091n
person look doubtful,bn:00046516n bn:00090449v bn:00101742a
person explain that he be think_of a application send directly to person,bn:00046516n bn:00087870v that he be bn:00092763v a bn:00005093n bn:00090548v bn:00115029r to bn:00046516n
then he ask to use the phone and call person who say that he be just leave to keep a lunch date but would be home by two o o'clock,bn:00114281r he bn:00082818v to bn:00082705v the bn:00062020n and bn:00084387v bn:00046516n who bn:00093287v that he be bn:00116052r bn:00088939v to bn:00090034v a bn:00026000n bn:00005111n but would bn:00083183v bn:00115677r by bn:00000075n o bn:00116391r
person say that he would see he at two and make another call this one to person 's lawyer,bn:00046516n bn:00093287v that he would bn:00093432v he at bn:00000075n and make another bn:00014791n this one to bn:00046516n 's bn:00007051n
person be out for the day but person would be free at one-thirty,bn:00046516n bn:00083183v out for the bn:00025420n but bn:00046516n would bn:00083181v bn:00103301a at one-thirty
the secretary 's tone indicate that a appointment at such short notice be a concession for which person should be duly grateful,the bn:00070164n 's bn:00077553n bn:00083436v that a bn:00005111n at bn:00117173r bn:00110561a bn:00058164n bn:00083182v a bn:00021527n for which bn:00046516n should bn:00083181v bn:00115142r bn:00103751a
he infer that person and person be high-priced lawyer,he bn:00086430v that bn:00046516n and bn:00046516n bn:00083182v bn:00100545a bn:00007051n
he have lunch with person,he bn:00085689v bn:00090519v with bn:00046516n
promptly at one-thirty he enter person and person 's elegant suite of office in person 's new professional building,bn:00116720r at one-thirty he bn:00085363v bn:00046516n and bn:00046516n 's bn:00102103a bn:00068243n of bn:00014169n in bn:00046516n 's bn:00107267a bn:00109068a bn:00013722n
he dislike person on sight conservative clothes and haircut smile a shade too earnestly boyish for a man who must be well into he thirties handclasp too consciously quick and firm,he bn:00086983v bn:00046516n on bn:00071511n bn:00100312a bn:00005007n and bn:00042548n bn:00041807n a bn:00057623n bn:00115274r bn:00115154r bn:00098783a for a bn:00001533n who must bn:00083181v bn:00117603r into he bn:00054834n bn:00042803n bn:00115274r bn:00114818r bn:00109345a and bn:00102999a
youngish man on the make person label he and be ready to guess that in a correct not too push fashion the junior partner of the firm have political ambition that person would be impeccably suitable as the wife of a rising young lawyer that there be three child two boy and a girl that she be active in the woman 's club and he in lion rotary_club and jaycee and finally that neither of they have harbor a unorthodox opinion since they wedding_day,bn:00114008a bn:00001533n on the make bn:00046516n bn:00090001v he and bn:00083181v bn:00109485a to bn:00089106v that in a bn:00100491a bn:00116360r bn:00115274r push bn:00033729n the bn:00105570a bn:00020592n of the bn:00014160n bn:00089241v bn:00108760a bn:00003269n that bn:00046516n would bn:00083181v bn:00115756r suitable as the bn:00053531n of a bn:00109888a bn:00104589a bn:00007051n that there bn:00083184v bn:00095975a bn:00018346n bn:00095950a bn:00012569n and a bn:00034021n that she bn:00083181v bn:00096385a in the woman 's club and he in lion bn:00068321n and jaycee and bn:00115368r that neither of they have bn:00087684v a bn:00113022a bn:00059168n since they bn:00080795n
person know that he could be completely wrong about all this but also know that he would go_on right on dislike person,bn:00046516n bn:00090142v that he could bn:00083181v bn:00114203r bn:00104880a about all this but bn:00114246r bn:00090142v that he would bn:00085714v bn:00116860r on bn:00086983v bn:00046516n
person be prepared to be helpful in what he refer to with fastidious distaste as this unfortunate person affair which would not he say more than once have ever come_about if person have only see fit to consult person or he about it,bn:00046516n bn:00083181v bn:00108965a to bn:00083181v bn:00104094a in what he bn:00082412v to with bn:00102818a bn:00004710n as this bn:00104790a bn:00046516n bn:00001734n which would bn:00116360r he bn:00093287v bn:00106936a than bn:00115811r have bn:00115253r bn:00085337v if bn:00046516n have bn:00114626r bn:00082812v bn:00103024a to bn:00085574v bn:00046516n or he about it
person regret not be able to find fault with so true a statement,bn:00046516n bn:00092683v bn:00116360r be bn:00096151a to find fault with bn:00117043r bn:00112146a a bn:00005600n
he ask to see a copy of person 's will,he bn:00082818v to bn:00093430v a bn:00022526n of bn:00046516n 's bn:00076666n
person bring one out,bn:00046516n bn:00084061v one out
the date october 8 1957 immediately catch the inspector 's eye,the bn:00025336n bn:00058593n 8 1957 bn:00114422r bn:00082786v the bn:00046922n 's bn:00032514n
`` fairly recent `` he remark,`` bn:00115313r bn:00109521a `` he bn:00090740v
`` be she in the habit of make new will ``,`` bn:00083181v she in the bn:00042403n of bn:00086008v bn:00107267a bn:00076666n ``
`` oh no,`` oh no
she have reason to change the one she make right after person 's death,she bn:00089240v bn:00041881n to bn:00082553v the one she bn:00086008v bn:00116861r after bn:00046516n 's bn:00025582n
she estate have grow considerably,she bn:00031647n have bn:00089083v bn:00114823r
she want to make a more equitable distribution of it among the group that would benefit the most particularly the scholarship fund,she bn:00086682v to bn:00087733v a bn:00116284r bn:00102356a bn:00027798n of it among the bn:00041942n that would bn:00083413v the most bn:00115235r the bn:00069614n bn:00036839n
at the time the will be draw person mention to i how mentally alert she seem for she age know just what change she want make and_so_forth ``,at the bn:00077269n the bn:00076666n be bn:00087247v bn:00046516n bn:00090740v to i how bn:00116237r alert she bn:00082690v for she bn:00001936n bn:00090142v bn:00115266r what bn:00003125n she bn:00086682v bn:00087106v bn:00114282r ``
person hesitate,bn:00046516n bn:00089324v
`` person and i have notice some lapse since though,`` bn:00046516n and i have bn:00086708v some bn:00007820n since bn:00117287r
most of they this past year i would say,most of they this bn:00108320a bn:00078738n i would bn:00093288v
even two or three year ago i doubt that she would have become involved in this unfortunate person affair,bn:00115244r bn:00095950a or bn:00095975a bn:00078738n bn:00114178r i bn:00087189v that she would have bn:00083293v bn:00105394a in this bn:00104790a bn:00046516n bn:00001734n
she would have consult we you see,she would have bn:00085574v we you bn:00092443v
she always do before and show the utmost confidence in whatever we advise ``,she bn:00114250r do bn:00114512r and bn:00086557v the bn:00102658a bn:00021742n in whatever we bn:00082417v ``
the inspector nod doubt this,the bn:00046922n bn:00091073v bn:00087189v this
person have not strike he as ready to seek anyone 's advice least_of_all person 's,bn:00046516n have not bn:00082430v he as bn:00109485a to bn:00093452v anyone 's bn:00001592n bn:00116095r bn:00046516n 's
with she sharp_tongue she would have cut_to_ribbons he pompousness to ribbon,with she bn:00070926n she would have bn:00086238v he bn:00046677n to ribbon
it would have be person who handle she affairs,it would have bn:00083182v bn:00046516n who bn:00084527v she bn:00001738n
person settle back to read the will,bn:00046516n bn:00093535v back to bn:00092424v the bn:00076666n
he skim_over the million that go to location group the civic_center the group the library and_so_on pause when he come to the scholarship fund,he bn:00093812v the million that bn:00088914v to bn:00051760n bn:00041942n the bn:00019346n the bn:00041942n the bn:00026386n bn:00114282r bn:00089324v when he bn:00085320v to the bn:00069614n bn:00036839n
two million be add to what have be set_aside for it in person 's lifetime and the proviso make that as long as person continue to discharge he duty as administrator of the fund to the satisfaction of the board_of_trustees hereinafter appoint by the bank administer the estate he be to be retain in he present capacity at a salary commensurate with the increased responsibility enlargement of the fund would entail,bn:00095950a million be bn:00082320v to what have be bn:00082539v for it in bn:00046516n 's bn:00051048n and the bn:00064921n bn:00087733v that as bn:00106124a as bn:00046516n bn:00085714v to bn:00085477v he bn:00029240n as bn:00001435n of the bn:00036839n to the bn:00069327n of the bn:00011655n bn:00115645r bn:00082715v by the bn:00008364n bn:00082362v the bn:00031647n he be to be bn:00085716v in he bn:00108977a bn:00015421n at a bn:00029416n bn:00100080a with the bn:00104887a bn:00029239n bn:00030922n of the bn:00036839n would bn:00087673v
